山西寿阳	101100407
山西太谷	101100408
山西祁县	101100409
山西平遥	101100410
山西灵石	101100411
山西介休	101100412
山西长治	101100501
山西黎城	101100502
山西屯留	101100503
山西潞城	101100504
山西襄垣	101100505
山西平顺	101100506
山西武乡	101100507
山西沁县	101100508
山西长子	101100509
山西沁源	101100510
山西壶关	101100511
山西晋城	101100601
山西沁水	101100602
山西阳城	101100603
山西陵川	101100604
山西高平	101100605
山西临汾	101100701
山西曲沃	101100702
山西永和	101100703
山西隰县	101100704
山西大宁	101100705
山西吉县	101100706
山西襄汾	101100707
山西蒲县	101100708
山西汾西	101100709
山西洪洞	101100710
山西霍州	101100711
山西乡宁	101100712
山西翼城	101100713
山西侯马	101100714
山西浮山	101100715
山西安泽	101100716
山西古县	101100717
山西运城	101100801
山西临猗	101100802
山西稷山	101100803
山西万荣	101100804
山西河津	101100805
山西新绛	101100806
山西绛县	101100807
山西闻喜	101100808
山西垣曲	101100809
山西永济	101100810
山西芮城	101100811
山西夏县	101100812
山西平陆	101100813
山西朔州	101100901
山西平鲁	101100902
山西山阴	101100903
山西右玉	101100904
山西应县	101100905
山西怀仁	101100906
山西忻州	101101001
山西定襄	101101002
山西五台县豆村	101101003
山西河曲	101101004
山西偏关	101101005
山西神池	101101006
山西宁武	101101007
山西代县	101101008
山西繁峙	101101009
山西五台山	101101010
山西保德	101101011
山西静乐	101101012
山西岢岚	101101013
山西五寨	101101014
山西原平	101101015
山西吕梁	101101100
山西离石	101101101
山西临县	101101102
山西兴县	101101103
山西岚县	101101104
山西柳林	101101105
山西石楼	101101106
山西方山	101101107
山西交口	101101108
山西中阳	101101109
山西孝义	101101110
山西汾阳	101101111
山西文水	101101112
山西交城	101101113
陕西西安	101110101
陕西长安	101110102
陕西临潼	101110103
陕西蓝田	101110104
陕西周至	101110105
陕西户县	101110106
陕西高陵	101110107
陕西杨凌	101110108
陕西咸阳	101110200
陕西三原	101110201
陕西礼泉	101110202
陕西永寿	101110203
陕西淳化	101110204
陕西泾阳	101110205
陕西武功	101110206
陕西乾县	101110207
陕西彬县	101110208
陕西长武	101110209
陕西旬邑	101110210
